Average_Pressure,Classification
1.8063,BAD
1.8630,GOOD
1.6433,GOOD
1.9533,BAD
1.5854,BAD
2.3352,BAD
1.7729,BAD
2.2257,GOOD
2.2931,GOOD
1.8031,BAD
1.8808,GOOD
1.8233,BAD
1.7019,BAD
1.9720,BAD
1.7470,GOOD
1.8096,GOOD
1.7412,GOOD
1.8112,BAD
2.4250,BAD
1.0750,GOOD
0.7500,GOOD
2.8929,GOOD
1.9239,GOOD
2.1778,BAD
1.7076,BAD
1.6338,GOOD
1.8250,GOOD
1.9735,BAD
2.6333,BAD
1.6308,BAD
1.9044,BAD
1.7735,BAD
1.8818,BAD
1.7167,BAD
2.0667,GOOD
2.0470,BAD
2.0389,GOOD
1.8550,BAD
1.6246,GOOD
1.9148,BAD
0.0000,GOOD
2.0292,GOOD
1.7542,GOOD
1.9060,GOOD
2.1409,GOOD
1.9025,GOOD
1.8750,GOOD
2.1917,GOOD
1.5775,GOOD
1.6442,GOOD
1.8923,GOOD
0.0000,BAD
2.1325,BAD
1.8103,GOOD
3.0000,BAD
1.3525,BAD
1.4559,GOOD
1.9994,GOOD
1.3804,GOOD
1.4611,GOOD
1.6557,BAD
1.5407,BAD
1.3115,GOOD
1.6406,GOOD
1.7363,GOOD
1.6566,GOOD
1.8455,BAD
2.3731,BAD
1.8464,BAD
2.0929,GOOD
1.6610,GOOD
2.1000,GOOD
2.4500,GOOD
0.9000,BAD
1.8423,GOOD
1.4250,GOOD
3.7500,GOOD
1.5383,BAD
1.9323,GOOD
1.9063,GOOD
2.6833,BAD
2.0167,BAD
2.0274,BAD
1.7207,GOOD
1.7607,BAD
1.6841,GOOD
1.7262,GOOD
2.2500,BAD
1.6556,GOOD
1.5458,BAD
1.8321,BAD
1.6182,BAD